id	output
["0x5555555555555555555555555555555555555555",999]	{"name": "Wrapped HYPE", "symbol": "WHYPE", "decimals": 18}
["0x012729Dd78eee94a7Bc90bFDf32909dd4a032DdF",999]	{"name": "HypeDoge", "symbol": "HDOGE", "decimals": 18}
["0x1AE9b8D1453913C7ca35F25B7972509ED7621443",999]	{"name": "HYPERMOON", "symbol": "HMOON", "decimals": 18}
["0x29927A33E49Aece4Bc07C3CeB0006de42800636C",999]	{"name": "Hypaw", "symbol": "PAW", "decimals": 18}
["0x5541F4F0B7E8e85300B80f2A69a4c045Ec51Aa10",999]	{"name": "Mini Swappy", "symbol": "Swappy", "decimals": 18}
["0x1918008F7110C716d9e2d65B3c7BA652E1a55516",999]	{"name": "HYPERSWAP", "symbol": "SWAP", "decimals": 18}
["0x155D094c3C839d1Af2D316AD1f09A162766e4a93",999]	{"name": "TEST", "symbol": "TEST", "decimals": 18}
["0x13Fc27B19154b4516e55CF323D05b530b98A6ee6",999]	{"name": "MVP", "symbol": "MVP", "decimals": 18}
["0x50A6EF7B7bF1d045378ec14F80CB549f2C4aCE0D",999]	{"name": "EVMEME", "symbol": "EVMEME", "decimals": 18}
["0x2034683391B10dAc0B8C550e5edA9D7aF53Ffbd1",999]	{"name": "HYPERBORIA", "symbol": "HYPRIA", "decimals": 18}
["0x1b0d14682477F85C4c85c19dABE12ee77817140f",999]	{"name": "SWAPCAT", "symbol": "SCAT", "decimals": 18}
["0x32C4093A6e94dA3CAbe3f59Bca6fDF264F42073C",999]	{"name": "Pepe", "symbol": "PEPE", "decimals": 18}
["0x4f4Dc2997e3f8ec15C9038fa55C5A6A337CC847e",999]	{"name": "HYPERSWAP", "symbol": "HYPER", "decimals": 18}
["0x3d7101519114607439811DdC4bbD8C7b43BB401d",999]	{"name": "HYPIO", "symbol": "HYPIO", "decimals": 18}
["0x18e2bAE94E55a4dcdf45c84c2C2478bC467DD9c8",999]	{"name": "GOAT", "symbol": "GOAT", "decimals": 18}
["0x16D2FF1777aC7c011665Ac6d2C7603f43f65c1D3",999]	{"name": "HyperBot", "symbol": "HBOT", "decimals": 18}
["0x09b600195a98C6C7A22ba5f295B1De18F186635f",999]	{"name": "jeet", "symbol": "jet", "decimals": 18}
["0x1B32172c72E5B9422C8C76c7b67D7dBB2513A091",999]	{"name": "Hypurr", "symbol": "Hypurr", "decimals": 18}
["0x08150e39BF38F659130cB3982eB5515c416aa5F8",999]	{"name": "OwariDa", "symbol": "OWARI", "decimals": 18}
["0x94e8396e0869c9F2200760aF0621aFd240E1CF38",999]	{"name": "Staked HYPE Shares", "symbol": "wstHYPE", "decimals": 18}
["0x38631481617827784013641d7F84F40Dc95d09DC",999]	{"name": "Hyperscan", "symbol": "SCAN", "decimals": 18}
["0x4913A1eC1945F2d6c238B7284190c958974d2CdB",999]	{"name": "JeffsDog", "symbol": "PASTERNAK", "decimals": 18}
["0x40480BcB9661e95c11bc444059cd35c041ca7Ac7",999]	{"name": "GOAT", "symbol": "GOAT", "decimals": 18}
["0x38cC2219e506a41692E13f2E04826C10EFE97CcE",999]	{"name": "Thousand", "symbol": "THO", "decimals": 18}
["0x20BEc9781a59b4295b4b3F76C198777429854512",999]	{"name": "OnlyDegens", "symbol": "DEGENZ", "decimals": 18}
["0x0726F20E54AB8f2bfA630DC023f5B547980e098F",999]	{"name": "HyperRock", "symbol": "HYPEROCK", "decimals": 18}
["0x4E0DC4DCc83B86d77F9948CBfa83128F2C911111",999]	{"name": "PVP", "symbol": "PVP", "decimals": 18}
["0x020B2704D404e601cFF4394b4e96fBaBB3fd7D72",999]	{"name": "test", "symbol": "TST", "decimals": 18}
["0x04F7E2fce20da96f89a0631f5902A2ED6AB5260C",999]	{"name": "test", "symbol": "TST", "decimals": 18}
["0x1EaF2aD81bCD9fe9d843E2ae82B233CB7B35879a",999]	{"name": "PRICE", "symbol": "PRICE", "decimals": 18}
["0x37f8A10CFE5201179156f358214209b92EE08a69",999]	{"name": "APTOS", "symbol": "APTOS", "decimals": 18}
["0x516bc55a11539A6e3AA6d8FBcEce449951Ed80A5",999]	{"name": "gunit", "symbol": "gunit", "decimals": 18}
["0x431c0EF0181779075148228c26014B3eC5DA3b42",999]	{"name": "HYPERSWAP", "symbol": "HSWP", "decimals": 18}
["0x41De302491faaF1e682c83736a73ce11E4C36Ad0",999]	{"name": "SHIZO", "symbol": "SHIZO", "decimals": 18}
["0x2Cd1eceE7831471101eEC6b801501B983f551Ae8",999]	{"name": "HARDEE", "symbol": "HARD", "decimals": 18}
["0x087defbF733A62F7AD84923b0Fd75C396d93Ff62",999]	{"name": "DOGE", "symbol": "DOGE", "decimals": 18}
["0x469D8A981F8Ec8c6881C5c7A0c9Bc1ea32C90d8a",999]	{"name": "HypePEPE", "symbol": "HYPEPE", "decimals": 18}
["0x1fbcCdc677c10671eE50b46C61F0f7d135112450",999]	{"name": "Ether", "symbol": "ETH", "decimals": 18}
["0x0c2Bb7bBe92d5af079C1cCe80D47785acbF5697D",999]	{"name": "LFG", "symbol": "LFG", "decimals": 18}
["0x54fE95Cf6B5e2A2d9C8B8DbE4491Ce11E79fA55C",999]	{"name": "KIKE", "symbol": "KIKE", "decimals": 18}
["0x009D6C0A1738fa54791EA3FdC961933781249a7a",999]	{"name": "convall", "symbol": "CON", "decimals": 18}
["0x2C5BB8B84B3B19C65637903f4a46FE993C75e83E",999]	{"name": "catbal", "symbol": "cbal", "decimals": 18}
["0x548CF366C4Dd076B57Aef71644d6F446E53111E8",999]	{"name": "TESTHYPER", "symbol": "THR", "decimals": 18}
["0x1375809A1DE947c1d8F3BFAD6FEC2f61019fBE07",999]	{"name": "TOKEN", "symbol": "TOKEN", "decimals": 18}
["0x36BD9240289EcA226859b113C769DD6CD95f5b75",999]	{"name": "tst", "symbol": "tst", "decimals": 18}
["0x4003dADcDe45880578306cC849De4521282e2bd3",999]	{"name": "HAIPAR", "symbol": "HAIP", "decimals": 18}
["0x324C06bF642C10f3723e5614330e132Fb4B61770",999]	{"name": "HYUNDAI SWAP", "symbol": "HSP", "decimals": 18}
["0x4c479d2024F42dC08DDDf3aC69c1cA9406Df8764",999]	{"name": "catGPT", "symbol": "catGPT", "decimals": 18}
["0x178ab8a4FC004A3cD21394b36394C4482570eA44",999]	{"name": "BROKE", "symbol": "BROKE", "decimals": 18}
["0x53d0E85d9E15a00939a31BB97a40A538ef6b921f",999]	{"name": "kitkat", "symbol": "KAT", "decimals": 18}
["0x2EFfFBfb424aea6e5FA00542efaf224Bfdb95E48",999]	{"name": "Tether USD", "symbol": "USDT", "decimals": 18}
["0x307dEDac1688C555EE14F90A85A70062C29165B9",999]	{"name": "HyperrQuan", "symbol": "QUANT", "decimals": 18}
["0x2e5f89991cA76F79c339e44F00C33E41cC43BF5C",999]	{"name": "EPYH", "symbol": "EPYH", "decimals": 18}
["0x4C88A141DfC3e73D4688AE1fbC817F2C76B58715",999]	{"name": "HIGHER", "symbol": "HIGHER", "decimals": 18}
["0x08E3303863c6df65C38f04d3Ea78185AcF345FB2",999]	{"name": "Ultraliqui", "symbol": "ULTRA", "decimals": 18}
["0x102225f2d68C99B6Dea3ae9367238f5306bfCa8d",999]	{"name": "HypeTrain", "symbol": "HPT", "decimals": 18}
["0x4807a679189AcE87E523916aeD18e1b686ae2F3f",999]	{"name": "rynx", "symbol": "rynx", "decimals": 18}
["0x17a7C318ebf56928A6B13DB7eaB6cd3dDbD63012",999]	{"name": "HyperMoon", "symbol": "PILLS", "decimals": 18}
["0x45e34484C5B6aB58D76cC3489863B1C0Ab904C23",999]	{"name": "PURR ON HYPE", "symbol": "PURR", "decimals": 18}
["0x660012E3dC33A539E2433225021606F604C21d4c",999]	{"name": "tst", "symbol": "tst", "decimals": 18}
["0xe7F4A036b6FFa9ef7Bc6be13F47D93D9c482AA9F",999]	{"name": "HyperDoge", "symbol": "HPDOGE", "decimals": 18}
["0xbEf0Ec5Ce777f624b3e34a66a90b41095c641BDa",999]	{"name": "HyperPurr", "symbol": "HYPURR", "decimals": 18}
["0x8dd6DFDA15Ae998ccaAfe60009EF5566E49F3F85",999]	{"name": "HYPEDOG", "symbol": "HYPEDOG", "decimals": 18}
["0xC73657ac90a07f39f245d064fc9b744ce8FA598a",999]	{"name": "SWAP", "symbol": "SWAP", "decimals": 18}
["0x9b7Be4F758F28389cbC38F8677cDED5eC1f1E3C5",999]	{"name": "Megaliquid", "symbol": "Mega", "decimals": 18}
["0xdDBaD782560d385Ac2AeFF754a15Be084e72c5da",999]	{"name": "EARLY", "symbol": "EARLY", "decimals": 18}
["0x9C81aba3cd35D3c0BcCA3D2aCf72F2ed3a712C6c",999]	{"name": "HH", "symbol": "HH", "decimals": 18}
["0xa74E8c7935BA78F66bbE0A81998023447861477e",999]	{"name": "Gmeow", "symbol": "GMEOW", "decimals": 18}
["0xdb8f1872D872275b035e1E9cd967339d898b5A72",999]	{"name": "Pirate", "symbol": "PIRATE", "decimals": 18}
["0xda20A96dd036771c4aB58fBaB7a729a8BA0Cfc3D",999]	{"name": "PiPonHL", "symbol": "PIP", "decimals": 18}
["0x9A2Adb7a715D9700479c8935e2af6621B1521b43",999]	{"name": "Liquid Dog", "symbol": "LIQDOG", "decimals": 18}
["0xdaC4f411fD0CD07438cf9EE3BF70BEF04AA5EeA5",999]	{"name": "EVMEME", "symbol": "EVMEME", "decimals": 18}
["0xbe3946eF16718F8F40880410CB20C10f085D7439",999]	{"name": "CAT", "symbol": "CAT", "decimals": 18}
["0xfFaa4a3D97fE9107Cef8a3F48c069F577Ff76cC1",999]	{"name": "Staked HYPE", "symbol": "stHYPE", "decimals": 18}
["0xC353d59CC9A256e1360234EdEf4D505AC95227db",999]	{"name": "HYPEDOG", "symbol": "HYPEDOG", "decimals": 18}
["0x79a43C38B825f22AaEE45DECA2d6875cCc5B06fd",999]	{"name": "LiquidLuck", "symbol": "LUCK", "decimals": 18}
["0xACedA2F42A32ded60455BEF21eAD73844Fd02216",999]	{"name": "FTT", "symbol": "FTT", "decimals": 18}
["0xD11092A7f32a6e15bcb23B8f270d385427b12115",999]	{"name": "HYPERSWAP", "symbol": "HYPER", "decimals": 18}
["0x6bf1816C2F6386fca71b69e15Be7f5AFC90eBA74",999]	{"name": "WIF", "symbol": "WIF", "decimals": 18}
["0xBd1f357b3E525B61aA3D4577dc8c84b07e44e354",999]	{"name": "DogSwap", "symbol": "DOGSWAP", "decimals": 18}
["0x6C2277f4a9F6cF178BFB7f066b25b7849837Ef5C",999]	{"name": "hloracle", "symbol": "lor", "decimals": 18}
["0xebB6a4700AC42210E60FBCE717F2B5d00BaA1dA3",999]	{"name": "LQNA", "symbol": "LQNA", "decimals": 18}
["0xd8A6108c3F8250D028bC00F2f49eE6BCd515dF52",999]	{"name": "GOAT", "symbol": "GOAT", "decimals": 18}
